epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.616,1.87944,2.12214,1.39266,0.77469,0.85474,0.81762,0.39258,1.62259,1.69253,1.22914,0.0006621,0.0006621,0.0006621
2,279.966,1.56809,1.32181,1.25233,0.85779,0.88136,0.86851,0.52434,1.30601,1.42689,1.10377,0.00128492,0.00128492,0.00128492
3,419.698,1.54711,1.16801,1.2229,0.84621,0.9096,0.81272,0.4766,1.36054,1.16461,1.11395,0.00186374,0.00186374,0.00186374
4,575.505,1.51552,1.04673,1.20958,0.85993,0.90183,0.82958,0.51627,1.33838,1.06415,1.09513,0.001802,0.001802,0.001802
5,752.689,1.45641,0.93041,1.18909,0.89066,0.9209,0.8294,0.5243,1.26697,0.94145,1.069,0.001736,0.001736,0.001736
6,937.446,1.45147,0.88866,1.17837,0.86166,0.90395,0.83527,0.5115,1.37197,0.98766,1.11397,0.00167,0.00167,0.00167
7,1079.77,1.44354,0.83986,1.18486,0.8825,0.91525,0.83556,0.51834,1.28965,0.88165,1.10527,0.001604,0.001604,0.001604
8,1256.05,1.41054,0.80887,1.17771,0.88063,0.9209,0.84328,0.5332,1.28522,0.8095,1.1036,0.001538,0.001538,0.001538
9,1443.16,1.40005,0.75762,1.15078,0.87219,0.87571,0.836,0.54395,1.31033,0.87734,1.09718,0.001472,0.001472,0.001472
10,1620.4,1.37601,0.72054,1.14956,0.89401,0.91525,0.83965,0.50269,1.40728,0.81476,1.12672,0.001406,0.001406,0.001406
11,1810.06,1.38835,0.73888,1.1477,0.87972,0.89266,0.85692,0.55804,1.3237,0.79738,1.10139,0.00134,0.00134,0.00134
12,1986.91,1.33723,0.70694,1.13142,0.88954,0.9209,0.85011,0.55662,1.28528,0.78831,1.0924,0.001274,0.001274,0.001274
13,2173.25,1.33116,0.69035,1.13593,0.8939,0.9209,0.84878,0.5577,1.29355,0.78844,1.08819,0.001208,0.001208,0.001208
14,2354.27,1.35297,0.68319,1.13666,0.90433,0.9209,0.84625,0.52972,1.36004,0.77955,1.11061,0.001142,0.001142,0.001142
15,2536.49,1.31893,0.66138,1.12484,0.89468,0.91193,0.86101,0.57745,1.29353,0.72757,1.072,0.001076,0.001076,0.001076
16,2722.67,1.29565,0.64329,1.11072,0.89422,0.9209,0.85929,0.5662,1.26697,0.78798,1.0763,0.00101,0.00101,0.00101
17,2909.92,1.28636,0.64563,1.10908,0.88943,0.90898,0.83943,0.55803,1.22767,0.71753,1.05398,0.000944,0.000944,0.000944
18,3091.88,1.2872,0.63037,1.11425,0.89772,0.91525,0.87091,0.58454,1.21028,0.6816,1.04824,0.000878,0.000878,0.000878
19,3269.7,1.26984,0.61084,1.10154,0.87562,0.91475,0.84441,0.52819,1.39962,0.7408,1.09155,0.000812,0.000812,0.000812
20,3460.12,1.26729,0.59467,1.10954,0.87813,0.91525,0.83787,0.54689,1.26383,0.72121,1.05393,0.000746,0.000746,0.000746
21,3629.46,1.21653,0.55545,1.11926,0.89911,0.91525,0.87323,0.58807,1.25892,0.6794,1.0609,0.00068,0.00068,0.00068
22,3779.44,1.20331,0.55452,1.1049,0.87189,0.9096,0.84967,0.52645,1.42222,0.72923,1.10578,0.000614,0.000614,0.000614
23,3914.9,1.21391,0.54361,1.10405,0.86914,0.90395,0.85472,0.55296,1.31629,0.70988,1.06866,0.000548,0.000548,0.000548
24,4068.31,1.1691,0.53921,1.08662,0.88613,0.91525,0.85047,0.57025,1.25472,0.67846,1.05328,0.000482,0.000482,0.000482
25,4222.24,1.17672,0.53225,1.08975,0.8988,0.91525,0.86112,0.58129,1.26827,0.69325,1.05624,0.000416,0.000416,0.000416
26,4357.56,1.16781,0.51339,1.08436,0.89556,0.9209,0.86115,0.59304,1.21453,0.64953,1.05171,0.00035,0.00035,0.00035
27,4492.91,1.16715,0.50857,1.08191,0.90171,0.9096,0.86162,0.58196,1.25364,0.65377,1.05235,0.000284,0.000284,0.000284
28,4645.41,1.13309,0.49586,1.07404,0.89967,0.91525,0.86283,0.57956,1.29767,0.66692,1.06219,0.000218,0.000218,0.000218
29,4796.07,1.11567,0.48676,1.05107,0.89783,0.91525,0.86656,0.59068,1.23699,0.65169,1.04456,0.000152,0.000152,0.000152
30,4933.17,1.11277,0.48701,1.05707,0.90403,0.91525,0.86737,0.59187,1.24451,0.64471,1.04708,8.6e-05,8.6e-05,8.6e-05
